,Price,author,bookName,peapleNum,pubTime,publishing,score,level,hotlevel
145,47.00元,金庸,射雕英雄传（全四册）,45621,1999-04,生活·读书·新知三联书店,8.9,B,A
146,58.00元,庆山,夏摩山谷,3055,2019-1,江苏凤凰文艺出版社,7.0,C,D
147,59.00,[英] 萨拉·沃特斯,守夜,261,2019-2,上海人民出版社,8.5,B,E
148,25.00,[美] 雷蒙德·钱德勒,漫长的告别,13772,2008-2,新星出版社,8.1,B,B
149,CNY 32.00,[日] 川端康成,雪国,16576,2013-9-15,南海出版公司,8.0,B,B
150,68.00,[哥伦比亚] 加西亚·马尔克斯,一起连环绑架案的新闻,627,2019-1-15,南海出版公司,8.1,B,E
151,29.80,刘震云,一句顶一万句,27135,2009-3,长江文艺出版社,8.7,B,B
152,32.00元,(英)W.萨默塞特·毛姆,面纱,24982,2012-05-01,重庆,8.7,B,B
153,25.00元,韩寒,1988：我想和这个世界谈谈,131352,2010-9,国际文化出版公司,7.9,B,A
154,39.50元,(日)东野圭吾,祈祷落幕时,19599,2015-1,南海出版公司,7.7,B,B
155,12.00元,[日]芥川龙之介,罗生门,27166,2008-7,上海译文出版社,8.7,B,B
156,330.00元,[美]乔治·R.R.马丁,冰与火之歌,4669,2013-10-1,重庆出版社,9.5,A,D
157,42.00元,[瑞典] 弗雷德里克·巴克曼,外婆的道歉信,14213,2017-5,天津人民出版社,8.0,B,B
158,48.00元,[英] 石黑一雄,长日将尽,3592,2018-5,上海译文出版社,8.9,B,D
159,28.00元,[美国] J. D. 塞林格,麦田里的守望者,51642,2007-3,译林出版社,8.1,B,A
160,188元,[英] 肯·福莱特,圣殿春秋,6007,2018-7,江苏凤凰文艺出版社,8.6,B,C
161,48.00元,金宇澄,繁花,13962,2013-3,上海文艺出版社,8.8,B,B
162,25.00元,[美] 欧·亨利,麦琪的礼物,41519,2003-7,上海社会科学院出版社,8.6,B,A
163,16.00元,[奥] 卡夫卡,变形记,30933,2003-4,浙江文艺出版社,8.4,B,A
164,30.00元,(意)卡尔维诺,树上的男爵,15525,2012-4-1,译林出版社,9.1,A,B
165,27.00元,[英] 夏洛蒂·勃朗特,简爱,12429,2007-8-1,上海文艺出版社,8.6,B,B
166,39.00元,三浦紫苑,强风吹拂,6616,2015-1-1,广西师范大学出版社,9.0,B,C
167,32.80元,春风榴火,楚楚很动人,570,2018-3,广东旅游出版社,6.7,C,E
168,13.5元,张爱玲,金锁记,38360,2005-6,哈尔滨出版社,8.5,B,A
169,10.10元,[英]狄更斯,雾都孤儿,24121,1991-7,上海译文出版社,8.1,B,B
170,38.00元,白先勇,台北人,22230,2010-10,广西师范大学出版社,8.9,B,B
171,17.00元,[美] E.B.怀特,夏洛的网,32691,2004-5,上海译文出版社,8.6,B,A
172,52.00元,马伯庸,显微镜下的大明,5251,2019-1,湖南文艺出版社,8.7,B,C
173,49.80,[日] 小川糸,山茶文具店,6544,2018-3,湖南文艺出版社,8.2,B,C
174,39.90,[美] 安德烈·艾席蒙,夏日终曲,6498,2018-3,外语教学与研究出版社,8.8,B,C
175,35.00元,东野圭吾,嫌疑人X的献身,42115,2014-6,南海出版公司,9.0,B,A
176,18.80元,杨绛,我们仨,147400,2003-7,生活·读书·新知三联书店,8.7,B,A
177,48.00,[美] 哈珀·李,杀死一只知更鸟,10634,2017-2,译林出版社,9.2,A,C
178,25.00元,太宰治,人间失格,21067,2015-8,作家出版社,8.2,B,B
179,45.00元,郑辰,玉森画廊的客人,961,2019-3,广西师范大学出版社,7.8,B,E
180,39.80元,（美）恰克·帕拉尼克,肠子,1444,2014-11,北京联合出版公司,8.4,B,E
181,22.00元,亦舒,喜宝,53981,2007-2,新世界出版社,8.0,B,A
182,28.00元,(英)阿加莎·克里斯蒂,无人生还,16559,2013-7,新星出版社,8.6,B,B
183,47.00,金庸,倚天屠龙记(共四册),35449,1999-04,三联书店,8.6,B,A
184,39.00,郑执,生吞,3650,2017-11-1,浙江文艺出版社,8.3,B,D
185,198.00元,(美) 大卫·马祖凯利,建筑师,609,2019-3,后浪 | 北京联合出版公司,9.3,A,E
186,25.00元,桐华,步步惊心,43669,2006-6,民族出版社,8.1,B,A
187,42.00,[瑞典] 弗雷德里克·巴克曼,清单人生,4937,2018-4-21,天津人民出版社,7.9,B,D
188,29.80元,张爱玲,倾城之恋,14300,2012-6-1,"北京出版集团公司,北京十月文艺出版社",8.7,B,B
189,58.00元,[英] 毛姆 著,英国特工阿申登,296,2019-1,理想国丨广西师范大学出版社,9.3,A,E
190,48.00,[日] 深水黎一郎,推理竞技场,1162,2019-2,新星出版社,7.7,B,E
191,36.00元,张嘉佳,从你的全世界路过,93666,2013-11-1,湖南文艺出版社,7.0,C,A
192,25.00元,[俄] 费奥多尔·陀思妥耶夫斯基,卡拉马佐夫兄弟,10331,2006-8,上海译文出版社,9.4,A,C
193,28.00元,[法] 莫泊桑,项链,28110,2005-2,河北教育出版社,8.3,B,B
194,39.00元,严歌苓,芳华,25987,2017-4-1,人民文学出版社,8.1,B,B
195,39.80元,[日] 东野圭吾,虚无的十字架,32163,2015-6,湖南文艺出版社,7.5,B,A
196,12.00元,余华,活着,183249,1998-5,南海出版公司,9.1,A,A
197,22.00元,王安忆,长恨歌,37158,2003-8,南海出版公司,8.2,B,A
198,10,刘慈欣,流浪地球,1444,2014-7,山西春秋电子音像出版社,7.4,B,E
199,38.00元,刘慈欣,流浪地球,4028,2016-6,中国华侨出版社,8.3,B,D
200,27.00元,[英] 石黑一雄,远山淡影,14097,2011-5,上海译文出版社,8.1,B,B
201,29.80元,[日] 东野圭吾,秘密,36839,2008-6,海南出版社,7.7,B,A
202,49.80元,海宴,琅琊榜,21405,2007-12,朝华出版社,8.5,B,B
203,16.00元,乔治•奥威尔 (George Orwell),动物庄园,20931,2009-6-1,上海三联书店,9.3,A,B
204,20.00元,[英] 阿道司·赫胥黎,美丽新世界,16237,2005-6,重庆出版社,8.6,B,B
205,42.00元,紫金陈,长夜难明,15033,2017-1,云南人民出版社,8.5,B,B
206,52.00元,[美] 伍绮诗,小小小小的火,8688,2018-4,江苏凤凰文艺出版社,8.3,B,C
207,28.00元,〔日〕东野圭吾,幻夜,54668,2009年9月,南海出版公司,7.5,B,A
208,23.00,[阿根廷] 博尔赫斯,小径分岔的花园,8755,2015-7,上海译文出版社,8.9,B,C
209,24.80元,江南,龙族Ⅰ,17108,2010-4,长江出版社,7.7,B,B
210,23.30元,[美]马里奥·普佐,教父,22911,1997-8,译林出版社,9.0,B,B
211,25.00元,[美] 斯科特·菲茨杰拉德,了不起的盖茨比,14076,2012-5,南海出版公司,8.7,B,B
212,25.00,[日]东野圭吾,时生,32880,2010-1,南海出版公司,7.7,B,A
213,35.00元,[英] 阿加莎·克里斯蒂,无人生还,20872,2016-8,新星出版社,8.7,B,B
214,132.00（全三册）,[英] 肯·福莱特,世界的凛冬,15730,2017-3-1,江苏凤凰文艺出版社,8.9,B,B
215,25.00元,[哥伦比亚] 加西亚·马尔克斯,一桩事先张扬的凶杀案,16807,2013-6,南海出版公司,8.7,B,B
216,27.00元,[美] 弗拉基米尔·纳博科夫,洛丽塔,61551,2005-12,上海译文出版社,7.7,B,A
217,25.00,顾漫,微微一笑很倾城,86859,2009-8,江苏文艺出版社,7.9,B,A
218,45.00元,[日] 中岛敦,山月记,514,2019-3,三秦出版社,8.3,B,E
219,23.00元,苏童,妻妾成群,25955,2004-8,上海文艺出版社,8.2,B,B
220,22.00,(法)阿尔贝·加缪,局外人,6930,2013-8,上海译文出版社,9.1,A,C
221,328.00元,[法] 马塞尔·普鲁斯特,追忆似水年华,2771,2012-6,译林出版社,9.2,A,D
222,18.00元,余华,在细雨中呼喊,19563,1999-1,南海出版公司,8.3,B,B
223,15.50元,王朔,动物凶猛,23630,2004年02月,中国电影出版社,8.3,B,B
224,32.00元,玖月晞,少年的你，如此美丽,4167,2016-9,百花洲文艺出版社,6.7,C,D
225,20.00元,[苏] 尼·奥斯特洛夫斯基,钢铁是怎样炼成的,52232,1996-10,译林出版社,7.6,B,A
226,20.00,[德] 赫尔曼·黑塞,悉达多,17766,2009-3,上海人民出版社,9.0,B,B
227,66.00元,[法] 雨果,悲惨世界（上中下）,35829,1992-6,人民文学出版社,8.9,B,A
228,28.00元,[澳] 考琳·麦卡洛,荆棘鸟,37965,1998-7,译林出版社,8.6,B,A
229,45.00元,巫哲,撒野,4185,2018-10,北京联合出版公司,9.0,B,D
230,38.00元,[马来西亚] 黄锦树,雨,3300,2018-3,后浪丨四川人民出版社,8.5,B,D
231,32.00元,[美] 艾萨克·阿西莫夫,永恒的终结,17894,2014-9-1,江苏文艺出版社,9.0,B,B
232,49,[日]荻原浩,海边理发店,560,2019-3,南海出版公司,8.0,B,E
233,39.00元,[美] 丹尼尔·凯斯,24个比利,18698,2015-6-30,外语教学与研究出版社,8.1,B,B
234,25.00元,[日] 太宰治,人间失格,26646,2011-12,武汉出版社,8.3,B,B
235,39.80元,马伯庸,长安十二时辰 下,6102,2017-1,湖南文艺出版社,7.7,B,C
236,39.50,[日] 东野圭吾,新参者,13505,2016-1,南海出版公司,8.3,B,B
237,23.80元,[日] 川端康成,伊豆的舞女,36403,2002-2,广西师范大学出版社,8.2,B,A
238,56.00元,[美] 约翰·威廉斯,奥古斯都,1822,2018-5,上海人民出版社,9.2,A,E
239,59.00元,美国《作家文摘》杂志社 编,短篇小说写作指南,189,2019-1-30,浦睿文化·湖南文艺出版社,8.3,B,E
240,295.20,南派三叔,盗墓笔记,17233,2011-9,上海文化出版社,8.5,B,B
241,42,关心则乱,知否知否应是绿肥红瘦,3697,2018-4-1,中国华侨出版社,7.4,B,D
242,32.00元,马伯庸,古董局中局,19011,2012-9,凤凰出版社,7.5,B,B
243,108.00元,金庸,鹿鼎记（全五册）,35092,2008-3,广州出版社 花城出版社,8.8,B,A
244,58.00元,九鹭非香,招摇,2422,2016-8-1,湖南文艺出版社,7.4,B,D
245,26.00元,[英]阿加莎·克里斯蒂,东方快车谋杀案,17321,2013-4,新星出版社,8.9,B,B
246,28.00元,豆豆,遥远的救世主,10751,2005-05-01,作家出版社,8.7,B,C
247,36.00元,[美] 特德·姜,你一生的故事,15610,2015-5,译林出版社,8.6,B,B
248,45,(美)马里奥·普佐,教父,12402,2014-4-1,江苏文艺出版社,9.1,A,B
249,25.00元,安妮宝贝,莲花,84805,2006-3,作家出版社,8.0,B,A
250,69,[奥地利] 斯蒂芬·茨威格,人类群星闪耀时,2339,2019-4-1,江苏凤凰文艺出版社,8.8,B,D
251,15.00元,顾漫,何以笙箫默,128502,2007-4,朝华出版社,7.8,B,A
252,98.00元,[英]派特·巴克,重生三部曲,61,2019-4,上海人民出版社,8.1,B,E
253,46.00元,书海沧生,十年一品温如言,17176,2011-6,江苏文艺出版社,7.6,B,B
254,26.80元,笛安,东霓,37657,2010-7-1,长江文艺出版社,8.1,B,A
255,35.00元,[美] 恰克·帕拉尼克,肠子,13228,2011-1,吉林出版集团有限责任公司,8.3,B,B
256,11.5,张爱玲,第一炉香,25463,1997-3,花城出版社,8.4,B,B
257,32.00元,[英] 毛姆,人生的枷锁,15295,2007-3,上海译文出版社,9.0,B,B
258,11.80元,[日] 村上春树,且听风吟,49509,2001-8,上海译文出版社,7.8,B,A
259,32.00元,[英] 毛姆,月亮和六便士,32714,2009-10,上海译文出版社,9.1,A,A
260,79.00元,[爱尔兰] 乔伊斯,尤利西斯,1184,2012-5,人民文学出版社,9.1,A,E
261,36.00元,[美] 丹尼尔·凯斯,献给阿尔吉侬的花束,8785,2015-4,广西师范大学出版社,9.0,B,C
262,56.00,[美] 耶日·科辛斯基,被涂污的鸟,153,2019-3,上海人民出版社,8.3,B,E
263,49.80元,阿耐,都挺好,697,2019-1,江苏凤凰文艺出版社,7.4,B,E
264,32.80元,春风榴火,楚楚很动人2,387,2018-3,广东旅游出版社,7.4,B,E
265,39.50,[日] 东野圭吾,红手指,7254,2016-1,南海出版公司,8.1,B,C
266,25.00元,[意大利] 伊塔洛·卡尔维诺,看不见的城市,11243,2012-4,译林出版社,9.0,B,C
267,臺幣1200圓,Priest,殺破狼,7231,2016-9,龍馬文化,8.9,B,C
268,36.00元,老舍,四世同堂,8667,2008-07,北京十月文艺出版社,9.3,A,C
269,NT$130,森尾正博,天然格鬥少女千尋 02,433,2014-2-18,東立出版社,,,E
270,24.00元,郭敬明,悲伤逆流成河,93628,2007-5,长江文艺出版社,6.2,C,A
271,28.00,[日] 东野圭吾,信,4855,2014-10,译林出版社,7.9,B,D
272,25.00元,江南,此间的少年,41568,2004-1,华文出版社,8.4,B,A
273,45.0元,[日] 山田宗树,被嫌弃的松子的一生,3388,2018-5,文治图书·四川文艺出版社,8.6,B,D
274,28.00元,张爱玲,红玫瑰与白玫瑰,8066,2012-6,北京十月文艺出版社,8.7,B,C
275,39.50元,双雪涛,平原上的摩西,5811,2016-6,百花文艺出版社,8.4,B,C
276,168.00元,[美] 库尔特·冯内古特,2081,70,2019-4,楚尘文化,9.5,A,E
277,25.00,[德]帕·聚斯金德,香水,9411,2009-6,上海译文出版社,8.9,B,C
